Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"04/06/2020 8:30 AM",55140,57954
Belarus,"04/06/2020 8:30 AM",45116,45967
Brazil,"04/06/2020 8:30 AM",583980,612660
Canada,"04/06/2020 8:30 AM",93085,93710
Chile,"04/06/2020 8:30 AM",113628,118762
Colombia,"04/06/2020 8:30 AM",33354,34950
Ecuador,"04/06/2020 8:30 AM",40966,41509
Germany,"04/06/2020 8:30 AM",184425,184755
India,"04/06/2020 8:30 AM",216824,226839
Indonesia,"04/06/2020 8:30 AM",28233,28926
Iran,"04/06/2020 8:30 AM",160696,163914
Italy,"04/06/2020 8:30 AM",233836,234131
Kuwait,"04/06/2020 8:30 AM",29359,30064
Mexico,"04/06/2020 8:30 AM",97326,101349
Pakistan,"04/06/2020 8:30 AM",80463,84740
Peru,"04/06/2020 8:30 AM",178914,182875
Qatar,"04/06/2020 8:30 AM",62160,64109
Russia,"04/06/2020 8:30 AM",432277,440550
"Saudi Arabia","04/06/2020 8:30 AM",91182,93354
Singapore,"04/06/2020 8:30 AM",36405,36970
"South Africa","04/06/2020 8:30 AM",37525,39309
Spain,"04/06/2020 8:30 AM",287406,287754
Sweden,"04/06/2020 8:30 AM",40803,43170
Turkey,"04/06/2020 8:30 AM",166422,167277
UAE,"04/06/2020 8:30 AM",36539,37298
UK,"04/06/2020 8:30 AM",279856,281649
USA,"04/06/2020 8:30 AM",1901783,1922029
