Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"03/06/2020 8:30 AM",52445,55518
Belarus,"03/06/2020 8:30 AM",44255,45084
Brazil,"03/06/2020 8:30 AM",556668,585389
Canada,"03/06/2020 8:30 AM",92410,93090
Chile,"03/06/2020 8:30 AM",108686,112250
Colombia,"03/06/2020 8:30 AM",31833,33224
Ecuador,"03/06/2020 8:30 AM",40414,41770
Germany,"03/06/2020 8:30 AM",184091,184414
India,"03/06/2020 8:30 AM",207191,216340
Indonesia,"03/06/2020 8:30 AM",27549,28169
Iran,"03/06/2020 8:30 AM",157562,160771
Italy,"03/06/2020 8:30 AM",233515,233820
Kuwait,"03/06/2020 8:30 AM",28649,29552
Mexico,"03/06/2020 8:30 AM",93435,96231
Pakistan,"03/06/2020 8:30 AM",76398,80553
Peru,"03/06/2020 8:30 AM",174884,179805
Qatar,"03/06/2020 8:30 AM",60259,62119
Russia,"03/06/2020 8:30 AM",423741,432386
"Saudi Arabia","03/06/2020 8:30 AM",89011,90882
Singapore,"03/06/2020 8:30 AM",35836,36382
"South Africa","03/06/2020 8:30 AM",35812,36009
Spain,"03/06/2020 8:30 AM",287012,287249
Sweden,"03/06/2020 8:30 AM",38589,39376
Turkey,"03/06/2020 8:30 AM",165555,166330
UAE,"03/06/2020 8:30 AM",35788,36378
UK,"03/06/2020 8:30 AM",277985,279517
USA,"03/06/2020 8:30 AM",1881205,1902705
