Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"15/06/2020 8:30 AM",87520,90747
Belarus,"15/06/2020 8:30 AM",53973,54676
Brazil,"15/06/2020 8:30 AM",867882,883881
Canada,"15/06/2020 8:30 AM",98787,99147
Chile,"15/06/2020 8:30 AM",174293,181423
Colombia,"15/06/2020 8:30 AM",50939,53227
Ecuador,"15/06/2020 8:30 AM",46751,47134
Egypt,"15/06/2020 8:30 AM",44598,46279
Germany,"15/06/2020 8:30 AM",187671,187920
India,"15/06/2020 8:30 AM",332783,344251
Indonesia,"15/06/2020 8:30 AM",38277,39148
Iran,"15/06/2020 8:30 AM",187427,189924
Italy,"15/06/2020 8:30 AM",236989,237322
Kuwait,"15/06/2020 8:30 AM",35920,36340
Mexico,"15/06/2020 8:30 AM",142690,146223
Pakistan,"15/06/2020 8:30 AM",139230,146487
Peru,"15/06/2020 8:30 AM",229736,234310
Qatar,"15/06/2020 8:30 AM",79602,80743
Russia,"15/06/2020 8:30 AM",528964,537751
"Saudi Arabia","15/06/2020 8:30 AM",127541,131898
Singapore,"15/06/2020 8:30 AM",40604,41005
"South Africa","15/06/2020 8:30 AM",70038,74628
Spain,"15/06/2020 8:30 AM",291008,291309
Sweden,"15/06/2020 8:30 AM",51614,52299
Turkey,"15/06/2020 8:30 AM",178239,179817
UAE,"15/06/2020 8:30 AM",42294,42580
UK,"15/06/2020 8:30 AM",295889,297366
USA,"15/06/2020 8:30 AM",2162228,2181925
