Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"12/06/2020 8:30 AM",78052,81334
Belarus,"12/06/2020 8:30 AM",51816,51873
Brazil,"12/06/2020 8:30 AM",805649,837305
Canada,"12/06/2020 8:30 AM",97530,97916
Chile,"12/06/2020 8:30 AM",154092,159894
Colombia,"12/06/2020 8:30 AM",45212,46875
Ecuador,"12/06/2020 8:30 AM",44440,44977
Egypt,"12/06/2020 8:30 AM",39726,41223
Germany,"12/06/2020 8:30 AM",186795,187211
India,"12/06/2020 8:30 AM",298283,309774
Indonesia,"12/06/2020 8:30 AM",35295,36320
Iran,"12/06/2020 8:30 AM",180156,182394
Italy,"12/06/2020 8:30 AM",236142,236522
Kuwait,"12/06/2020 8:30 AM",34432,35027
Mexico,"12/06/2020 8:30 AM",129184,134240
Pakistan,"12/06/2020 8:30 AM",119536,125723
Peru,"12/06/2020 8:30 AM",214788,220946
Qatar,"12/06/2020 8:30 AM",75071,76546
Russia,"12/06/2020 8:30 AM",502436,511081
"Saudi Arabia","12/06/2020 8:30 AM",116021,119853
Singapore,"12/06/2020 8:30 AM",39387,39805
"South Africa","12/06/2020 8:30 AM",58568,61886
Spain,"12/06/2020 8:30 AM",289587,289788
Sweden,"12/06/2020 8:30 AM",48288,49816
Turkey,"12/06/2020 8:30 AM",174023,175013
UAE,"12/06/2020 8:30 AM",40986,41455
UK,"12/06/2020 8:30 AM",291409,292619
USA,"12/06/2020 8:30 AM",2089701,2113202
