Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"06/06/2020 8:30 AM",60391,63328
Belarus,"06/06/2020 8:30 AM",46868,47749
Brazil,"06/06/2020 8:30 AM",646006,677401
Canada,"06/06/2020 8:30 AM",94335,94925
Chile,"06/06/2020 8:30 AM",122499,126801
Colombia,"06/06/2020 8:30 AM",35120,35338
Ecuador,"06/06/2020 8:30 AM",41575,42185
Germany,"06/06/2020 8:30 AM",185414,185875
India,"06/06/2020 8:30 AM",236184,245973
Indonesia,"06/06/2020 8:30 AM",29521,30231
Iran,"06/06/2020 8:30 AM",167156,170103
Italy,"06/06/2020 8:30 AM",234531,235044
Kuwait,"06/06/2020 8:30 AM",30644,31349
Mexico,"06/06/2020 8:30 AM",105680,110287
Pakistan,"06/06/2020 8:30 AM",89249,93410
Peru,"06/06/2020 8:30 AM",187400,191534
Qatar,"06/06/2020 8:30 AM",65495,67263
Russia,"06/06/2020 8:30 AM",449834,458388
"Saudi Arabia","06/06/2020 8:30 AM",95748,98369
Singapore,"06/06/2020 8:30 AM",37183,37431
"South Africa","06/06/2020 8:30 AM",43434,46271
Spain,"06/06/2020 8:30 AM",288058,288369
Sweden,"06/06/2020 8:30 AM",42939,44023
Turkey,"06/06/2020 8:30 AM",168340,169263
UAE,"06/06/2020 8:30 AM",37642,38267
UK,"06/06/2020 8:30 AM",283311,284898
USA,"06/06/2020 8:30 AM",1965708,2008321

