Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"08/06/2020 8:30 AM",65769,68614
Belarus,"08/06/2020 8:30 AM",48630,49461
Brazil,"08/06/2020 8:30 AM",691962,709860
Canada,"08/06/2020 8:30 AM",95699,96321
Chile,"08/06/2020 8:30 AM",134150,140841
Colombia,"08/06/2020 8:30 AM",39236,40469
Ecuador,"08/06/2020 8:30 AM",43120,43513
Egypt,"08/06/2020 8:30 AM",34079,35608
Germany,"08/06/2020 8:30 AM",185869,186033
India,"08/06/2020 8:30 AM",257486,268756
Indonesia,"08/06/2020 8:30 AM",31186,31868
Iran,"08/06/2020 8:30 AM",171789,174186
Italy,"08/06/2020 8:30 AM",234998,235187
Kuwait,"08/06/2020 8:30 AM",31848,32571
Mexico,"08/06/2020 8:30 AM",113619,117284
Pakistan,"08/06/2020 8:30 AM",98943,104147
Peru,"08/06/2020 8:30 AM",196515,201269
Qatar,"08/06/2020 8:30 AM",68790,70406
Russia,"08/06/2020 8:30 AM",467673,476492
"Saudi Arabia","08/06/2020 8:30 AM",101914,105016
Singapore,"08/06/2020 8:30 AM",37910,38281
"South Africa","08/06/2020 8:30 AM",48285,50693
Spain,"08/06/2020 8:30 AM",288630,288823
Sweden,"08/06/2020 8:30 AM",44710,45545
Turkey,"08/06/2020 8:30 AM",170132,171044
UAE,"08/06/2020 8:30 AM",38808,39347
UK,"08/06/2020 8:30 AM",286194,287400
USA,"08/06/2020 8:30 AM",2007449,2025985

