Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"07/06/2020 8:30 AM",63026,65754
Belarus,"07/06/2020 8:30 AM",47751,48626
Brazil,"07/06/2020 8:30 AM",673587,701060
Canada,"07/06/2020 8:30 AM",95057,95762
Chile,"07/06/2020 8:30 AM",127745,133203
Colombia,"07/06/2020 8:30 AM",38027,39244
Ecuador,"07/06/2020 8:30 AM",42728,43914
Egypt,"07/06/2020 8:30 AM",32612,34103
Germany,"07/06/2020 8:30 AM",185696,185972
India,"07/06/2020 8:30 AM",246622,257415
Indonesia,"07/06/2020 8:30 AM",30514,31541
Iran,"07/06/2020 8:30 AM",169425,171726
Italy,"07/06/2020 8:30 AM",234801,235058
Kuwait,"07/06/2020 8:30 AM",31131,31590
Mexico,"07/06/2020 8:30 AM",110026,114544
Pakistan,"07/06/2020 8:30 AM",93983,98974
Peru,"07/06/2020 8:30 AM",191758,196083
Qatar,"07/06/2020 8:30 AM",67195,68915
Russia,"07/06/2020 8:30 AM",458689,467382
"Saudi Arabia","07/06/2020 8:30 AM",98869,102058
Singapore,"07/06/2020 8:30 AM",37527,37857
"South Africa","07/06/2020 8:30 AM",45973,48661
Spain,"07/06/2020 8:30 AM",288390,288687
Sweden,"07/06/2020 8:30 AM",43887,44826
Turkey,"07/06/2020 8:30 AM",169218,170072
UAE,"07/06/2020 8:30 AM",38268,38892
UK,"07/06/2020 8:30 AM",284868,286355
USA,"07/06/2020 8:30 AM",1988544,2011231

