Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"01/06/2020 8:30 AM",47153,49834
Belarus,"01/06/2020 8:30 AM",42556,43436
Brazil,"01/06/2020 8:30 AM",514849,531105
Canada,"01/06/2020 8:30 AM",90947,91712
Chile,"01/06/2020 8:30 AM",99688,104724
Colombia,"01/06/2020 8:30 AM",29383,30561
Ecuador,"01/06/2020 8:30 AM",39098,39628
Germany,"01/06/2020 8:30 AM",183494,183681
India,"01/06/2020 8:30 AM",190609,199798
Indonesia,"01/06/2020 8:30 AM",26473,27190
Iran,"01/06/2020 8:30 AM",151466,154010
Italy,"01/06/2020 8:30 AM",232997,233316
Kuwait,"01/06/2020 8:30 AM",27043,27901
Mexico,"01/06/2020 8:30 AM",87512,90458
Pakistan,"01/06/2020 8:30 AM",69496,72658
Peru,"01/06/2020 8:30 AM",164476,173694
Qatar,"01/06/2020 8:30 AM",56910,58576
Russia,"01/06/2020 8:30 AM",405843,414769
"Saudi Arabia","01/06/2020 8:30 AM",85261,87128
Singapore,"01/06/2020 8:30 AM",34884,35398
"South Africa","01/06/2020 8:30 AM",32683,34490
Spain,"01/06/2020 8:30 AM",286509,286628
Sweden,"01/06/2020 8:30 AM",37542,37960
Turkey,"01/06/2020 8:30 AM",163942,164748
UAE,"01/06/2020 8:30 AM",33896,34482
UK,"01/06/2020 8:30 AM",274762,276639
USA,"01/06/2020 8:30 AM",1837170,1856985
