Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"16/06/2020 8:30 AM",90619,93789
Belarus,"16/06/2020 8:30 AM",54680,55373
Brazil,"16/06/2020 8:30 AM",891556,914534
Canada,"16/06/2020 8:30 AM",99147,99488
Chile,"16/06/2020 8:30 AM",179436,184625
Colombia,"16/06/2020 8:30 AM",53063,55274
Ecuador,"16/06/2020 8:30 AM",47322,47889
Egypt,"16/06/2020 8:30 AM",46289,48035
Germany,"16/06/2020 8:30 AM",188044,188413
India,"16/06/2020 8:30 AM",343026,353501
Indonesia,"16/06/2020 8:30 AM",39294,40335
Iran,"16/06/2020 8:30 AM",189876,192341
Italy,"16/06/2020 8:30 AM",237290,237587
Kuwait,"16/06/2020 8:30 AM",36431,36919
Mexico,"16/06/2020 8:30 AM",146837,151036
Pakistan,"16/06/2020 8:30 AM",144478,149923
Peru,"16/06/2020 8:30 AM",232992,236172
Qatar,"16/06/2020 8:30 AM",80876,82141
Russia,"16/06/2020 8:30 AM",537210,545362
"Saudi Arabia","16/06/2020 8:30 AM",132048,136689
Singapore,"16/06/2020 8:30 AM",40818,41021
"South Africa","16/06/2020 8:30 AM",73533,77188
Spain,"16/06/2020 8:30 AM",291189,291354
Sweden,"16/06/2020 8:30 AM",52383,53162
Turkey,"16/06/2020 8:30 AM",179831,181419
UAE,"16/06/2020 8:30 AM",42636,42953
UK,"16/06/2020 8:30 AM",296857,297772
USA,"16/06/2020 8:30 AM",2182950,2203427
