Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"10/06/2020 8:30 AM",71675,74987
Belarus,"10/06/2020 8:30 AM",50265,51079
Brazil,"10/06/2020 8:30 AM",742084,774054
Canada,"10/06/2020 8:30 AM",96653,97042
Chile,"10/06/2020 8:30 AM",142759,146731
Colombia,"10/06/2020 8:30 AM",42078,43476
Ecuador,"10/06/2020 8:30 AM",43917,44458
Egypt,"10/06/2020 8:30 AM",36829,38260
Germany,"10/06/2020 8:30 AM",186516,186820
India,"10/06/2020 8:30 AM",274780,283849
Indonesia,"10/06/2020 8:30 AM",33076,33369
Iran,"10/06/2020 8:30 AM",175927,178041
Italy,"10/06/2020 8:30 AM",235561,235829
Kuwait,"10/06/2020 8:30 AM",33140,33769
Mexico,"10/06/2020 8:30 AM",120102,123101
Pakistan,"10/06/2020 8:30 AM",108317,113104
Peru,"10/06/2020 8:30 AM",203736,207757
Qatar,"10/06/2020 8:30 AM",71879,73611
Russia,"10/06/2020 8:30 AM",485253,493706
"Saudi Arabia","10/06/2020 8:30 AM",108571,111934
Singapore,"10/06/2020 8:30 AM",38514,38721
"South Africa","10/06/2020 8:30 AM",52991,55177
Spain,"10/06/2020 8:30 AM",289046,289237
Sweden,"10/06/2020 8:30 AM",45924,46729
Turkey,"10/06/2020 8:30 AM",172114,173104
UAE,"10/06/2020 8:30 AM",39904,40425
UK,"10/06/2020 8:30 AM",289140,290816
USA,"10/06/2020 8:30 AM",2045549,2064318
