Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"11/06/2020 8:30 AM",74865,78175
Belarus,"11/06/2020 8:30 AM",51066,51873
Brazil,"11/06/2020 8:30 AM",775184,809805
Canada,"11/06/2020 8:30 AM",97125,97581
Chile,"11/06/2020 8:30 AM",148496,154422
Colombia,"11/06/2020 8:30 AM",43682,45334
Ecuador,"11/06/2020 8:30 AM",44440,44977
Egypt,"11/06/2020 8:30 AM",38284,39767
Germany,"11/06/2020 8:30 AM",186866,187211
India,"11/06/2020 8:30 AM",287155,299983
Indonesia,"11/06/2020 8:30 AM",34316,35616
Iran,"11/06/2020 8:30 AM",177938,179962
Italy,"11/06/2020 8:30 AM",235763,235957
Kuwait,"11/06/2020 8:30 AM",33823,34460
Mexico,"11/06/2020 8:30 AM",124301,128599
Pakistan,"11/06/2020 8:30 AM",113702,119345
Peru,"11/06/2020 8:30 AM",208823,214003
Qatar,"11/06/2020 8:30 AM",73595,75315
Russia,"11/06/2020 8:30 AM",493657,501914
"Saudi Arabia","11/06/2020 8:30 AM",112288,116102
Singapore,"11/06/2020 8:30 AM",38965,39405
"South Africa","11/06/2020 8:30 AM",55421,57950
Spain,"11/06/2020 8:30 AM",289360,289632
Sweden,"11/06/2020 8:30 AM",46814,47726
Turkey,"11/06/2020 8:30 AM",173036,173951
UAE,"11/06/2020 8:30 AM",40507,41099
UK,"11/06/2020 8:30 AM",290143,291085
USA,"11/06/2020 8:30 AM",2066401,2087227
