Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"05/06/2020 8:30 AM",57563,60060
Belarus,"05/06/2020 8:30 AM",45981,46822
Brazil,"05/06/2020 8:30 AM",615870,649200
Canada,"05/06/2020 8:30 AM",93726,94334
Chile,"05/06/2020 8:30 AM",118292,123133
Colombia,"05/06/2020 8:30 AM",35120,36964
Ecuador,"05/06/2020 8:30 AM",40966,41198
Germany,"05/06/2020 8:30 AM",184953,185478
India,"05/06/2020 8:30 AM",226713,236890
Indonesia,"05/06/2020 8:30 AM",28818,29408
Iran,"05/06/2020 8:30 AM",164270,167948
Italy,"05/06/2020 8:30 AM",234013,234194
Kuwait,"05/06/2020 8:30 AM",29921,30477
Mexico,"05/06/2020 8:30 AM",101238,105275
Pakistan,"05/06/2020 8:30 AM",85264,90373
Peru,"05/06/2020 8:30 AM",183198,187569
Qatar,"05/06/2020 8:30 AM",63741,65347
Russia,"05/06/2020 8:30 AM",441108,449738
"Saudi Arabia","05/06/2020 8:30 AM",93157,95107
Singapore,"05/06/2020 8:30 AM",36922,37440
"South Africa","05/06/2020 8:30 AM",40792,44355
Spain,"05/06/2020 8:30 AM",287740,288067
Sweden,"05/06/2020 8:30 AM",41883,42993
Turkey,"05/06/2020 8:30 AM",167410,168389
UAE,"05/06/2020 8:30 AM",37018,37487
UK,"05/06/2020 8:30 AM",281661,283390
USA,"05/06/2020 8:30 AM",1924051,1946162

