Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"02/06/2020 8:30 AM",49534,52024
Belarus,"02/06/2020 8:30 AM",43403,44245
Brazil,"02/06/2020 8:30 AM",529405,543537
Canada,"02/06/2020 8:30 AM",91705,92411
Chile,"02/06/2020 8:30 AM",105159,110914
Colombia,"02/06/2020 8:30 AM",30493,31646
Ecuador,"02/06/2020 8:30 AM",39098,39341
Germany,"02/06/2020 8:30 AM",183765,184023
India,"02/06/2020 8:30 AM",198370,206366
Indonesia,"02/06/2020 8:30 AM",26940,27404
Iran,"02/06/2020 8:30 AM",154445,157510
Italy,"02/06/2020 8:30 AM",233197,233383
Kuwait,"02/06/2020 8:30 AM",27762,28474
Mexico,"02/06/2020 8:30 AM",90664,93868
Pakistan,"02/06/2020 8:30 AM",72460,75450
Peru,"02/06/2020 8:30 AM",170039,175638
Qatar,"02/06/2020 8:30 AM",58433,59979
Russia,"02/06/2020 8:30 AM",414878,423779
"Saudi Arabia","02/06/2020 8:30 AM",87142,89021
Singapore,"02/06/2020 8:30 AM",35292,35683
"South Africa","02/06/2020 8:30 AM",34357,36113
Spain,"02/06/2020 8:30 AM",286718,286875
Sweden,"02/06/2020 8:30 AM",37814,38078
Turkey,"02/06/2020 8:30 AM",164769,165583
UAE,"02/06/2020 8:30 AM",35192,36535
UK,"02/06/2020 8:30 AM",276332,277779
USA,"02/06/2020 8:30 AM",1859323,1880831
