Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"09/06/2020 8:30 AM",68504,71333
Belarus,"09/06/2020 8:30 AM",49453,50276
Brazil,"09/06/2020 8:30 AM",710887,729279
Canada,"09/06/2020 8:30 AM",96244,96766
Chile,"09/06/2020 8:30 AM",138846,143661
Colombia,"09/06/2020 8:30 AM",40719,42244
Ecuador,"09/06/2020 8:30 AM",43378,43599
Egypt,"09/06/2020 8:30 AM",35444,36847
Germany,"09/06/2020 8:30 AM",186205,186530
India,"09/06/2020 8:30 AM",265928,274540
Indonesia,"09/06/2020 8:30 AM",32033,32778
Iran,"09/06/2020 8:30 AM",173832,175890
Italy,"09/06/2020 8:30 AM",235278,235553
Kuwait,"09/06/2020 8:30 AM",32510,33146
Mexico,"09/06/2020 8:30 AM",117103,120630
Pakistan,"09/06/2020 8:30 AM",103671,108592
Peru,"09/06/2020 8:30 AM",199696,202812
Qatar,"09/06/2020 8:30 AM",70158,71496
Russia,"09/06/2020 8:30 AM",476658,485514
"Saudi Arabia","09/06/2020 8:30 AM",105283,108731
Singapore,"09/06/2020 8:30 AM",38296,38655
"South Africa","09/06/2020 8:30 AM",50879,53609
Spain,"09/06/2020 8:30 AM",288797,288900
Sweden,"09/06/2020 8:30 AM",45133,45547
Turkey,"09/06/2020 8:30 AM",171121,172106
UAE,"09/06/2020 8:30 AM",39376,39935
UK,"09/06/2020 8:30 AM",287399,288504
USA,"09/06/2020 8:30 AM",2026493,2045097
