Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"14/06/2020 8:30 AM",84379,87289
Belarus,"14/06/2020 8:30 AM",53241,53953
Brazil,"14/06/2020 8:30 AM",850796,871155
Canada,"14/06/2020 8:30 AM",98410,98862
Chile,"14/06/2020 8:30 AM",167355,174012
Colombia,"14/06/2020 8:30 AM",48746,50700
Ecuador,"14/06/2020 8:30 AM",46356,46935
Egypt,"14/06/2020 8:30 AM",42980,44730
Germany,"14/06/2020 8:30 AM",187423,187587
India,"14/06/2020 8:30 AM",321626,334057
Indonesia,"14/06/2020 8:30 AM",37420,38459
Iran,"14/06/2020 8:30 AM",184955,187407
Italy,"14/06/2020 8:30 AM",236651,236989
Kuwait,"14/06/2020 8:30 AM",35466,35959
Mexico,"14/06/2020 8:30 AM",139196,144589
Pakistan,"14/06/2020 8:30 AM",132405,139153
Peru,"14/06/2020 8:30 AM",225132,229469
Qatar,"14/06/2020 8:30 AM",78416,80250
Russia,"14/06/2020 8:30 AM",520129,528786
"Saudi Arabia","14/06/2020 8:30 AM",123308,126738
Singapore,"14/06/2020 8:30 AM",40197,40537
"South Africa","14/06/2020 8:30 AM",65736,69789
Spain,"14/06/2020 8:30 AM",290685,291079
Sweden,"14/06/2020 8:30 AM",50931,52207
Turkey,"14/06/2020 8:30 AM",176677,178144
UAE,"14/06/2020 8:30 AM",41990,42467
UK,"14/06/2020 8:30 AM",294375,295759
USA,"14/06/2020 8:30 AM",2142224,2167657
