Country_Region,"Last_ Update","Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"28/04/2020 8:30 AM",15274,15355
Belgium,"28/04/2020 8:30 AM",46687,47029
Brazil,"28/04/2020 8:30 AM",66501,70959
Canada,"28/04/2020 8:30 AM",48500,70468
China,"28/04/2020 8:30 AM",82830,82831
Ecuador,"28/04/2020 8:30 AM",23240,24506
France,"28/04/2020 8:30 AM",165842,167100
Germany,"28/04/2020 8:30 AM",158758,158972
India,"28/04/2020 8:30 AM",29451,31152
Iran,"28/04/2020 8:30 AM",91472,91566
Italy,"28/04/2020 8:30 AM",199414,200618
Japan,"28/04/2020 8:30 AM",14153,14663
Netherlands,"28/04/2020 8:30 AM",38245,38660
Peru,"28/04/2020 8:30 AM",28699,32436
Portugal,"28/04/2020 8:30 AM",24027,24177
Russia,"28/04/2020 8:30 AM",87147,92172
"South Korea","28/04/2020 8:30 AM",10738,10749
Spain,"28/04/2020 8:30 AM",229422,233993
Switzerland,"28/04/2020 8:30 AM",29164,29351
Turkey,"28/04/2020 8:30 AM",112261,114614
UK,"28/04/2020 8:30 AM",157149,160797
USA,"28/04/2020 8:30 AM",1010356,1035647
