Country_Region,"Last_ Update","Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"30/04/2020 8:30 AM",15402,15470
Belgium,"30/04/2020 8:30 AM",47859,48057
Brazil,"30/04/2020 8:30 AM",79361,84563
Canada,"30/04/2020 8:30 AM",51597,52551
China,"30/04/2020 8:30 AM",82858,82859
Ecuador,"30/04/2020 8:30 AM",24675,25939
France,"30/04/2020 8:30 AM",166420,168629
Germany,"30/04/2020 8:30 AM",161536,162751
India,"30/04/2020 8:30 AM",33062,34956
Iran,"30/04/2020 8:30 AM",92657,93953
Italy,"30/04/2020 8:30 AM",203591,204700
Japan,"30/04/2020 8:30 AM",13895,14343
Netherlands,"30/04/2020 8:30 AM",38802,39056
Peru,"30/04/2020 8:30 AM",33931,38188
Portugal,"30/04/2020 8:30 AM",24505,24593
Russia,"30/04/2020 8:30 AM",99399,104692
"South Korea","30/04/2020 8:30 AM",10761,10770
Spain,"30/04/2020 8:30 AM",236899,240946
Switzerland,"30/04/2020 8:30 AM",29407,29566
Turkey,"30/04/2020 8:30 AM",117589,119337
UK,"30/04/2020 8:30 AM",165221,168383
USA,"30/04/2020 8:30 AM",1064194,1085092

