Country_Region,"Last_ Update","Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"27/04/2020 8:30 AM",15225,15320
Belgium,"27/04/2020 8:30 AM",46134,46528
Brazil,"27/04/2020 8:30 AM",62859,67243
Canada,"27/04/2020 8:30 AM",46895,48039
China,"27/04/2020 8:30 AM",82827,82828
Ecuador,"27/04/2020 8:30 AM",22719,23984
France,"27/04/2020 8:30 AM",162100,163505
Germany,"27/04/2020 8:30 AM",157770,158168
India,"27/04/2020 8:30 AM",27890,29568
Iran,"27/04/2020 8:30 AM",90481,90699
Italy,"27/04/2020 8:30 AM",197675,198960
Japan,"27/04/2020 8:30 AM",13441,13931
Netherlands,"27/04/2020 8:30 AM",37845,38342
Peru,"27/04/2020 8:30 AM",27517,31144
Portugal,"27/04/2020 8:30 AM",23864,24049
Russia,"27/04/2020 8:30 AM",80949,85803
"South Korea","27/04/2020 8:30 AM",10728,10740
Spain,"27/04/2020 8:30 AM",226629,231595
Switzerland,"27/04/2020 8:30 AM",29061,29268
Turkey,"27/04/2020 8:30 AM",110130,112818
UK,"27/04/2020 8:30 AM",152840,156899
USA,"27/04/2020 8:30 AM    ",987160,1015311
