Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"23/05/2020 8:30 AM",30205,31958
Belarus,"23/05/2020 8:30 AM",34303,35100
Brazil,"23/05/2020 8:30 AM",330890,352209
Canada,"23/05/2020 8:30 AM",82480,83600
Chile,"23/05/2020 8:30 AM",61857,66510
Ecuador,"23/05/2020 8:30 AM",35828,36332
France,"23/05/2020 8:30 AM",182219,182597
Germany,"23/05/2020 8:30 AM",179713,180399
India,"23/05/2020 8:30 AM",124794,131651
Iran,"23/05/2020 8:30 AM",131652,134003
Italy,"23/05/2020 8:30 AM",228658,229281
Mexico,"23/05/2020 8:30 AM",59567,62687
Pakistan,"23/05/2020 8:30 AM",50694,53370
Peru,"23/05/2020 8:30 AM",111698,114595
Qatar,"23/05/2020 8:30 AM",40481,42386
Russia,"23/05/2020 8:30 AM",326448,335139
"Saudi Arabia","23/05/2020 8:30 AM",67719,70401
Singapore,"23/05/2020 8:30 AM",30426,30998
Spain,"23/05/2020 8:30 AM",281904,283624
Sweden,"23/05/2020 8:30 AM",32809,33454
Turkey,"23/05/2020 8:30 AM",154500,155404
UK,"23/05/2020 8:30 AM",254195,257436
USA,"23/05/2020 8:30 AM",1645094,1668965

