Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"29/05/2020 8:30 AM",40321,42434
Belarus,"29/05/2020 8:30 AM",39858,40740
Brazil,"29/05/2020 8:30 AM",438238,463138
Chile,"29/05/2020 8:30 AM",86943,91893
Ecuador,"29/05/2020 8:30 AM",38471,38835
Germany,"29/05/2020 8:30 AM",181895,182525
India,"29/05/2020 8:30 AM",165386,172979
Iran,"29/05/2020 8:30 AM",143849,146159
Italy,"29/05/2020 8:30 AM",231732,232310
Mexico,"29/05/2020 8:30 AM",78023,81631
Pakistan,"29/05/2020 8:30 AM",61227,63363
Peru,"29/05/2020 8:30 AM",141779,147904
Qatar,"29/05/2020 8:30 AM",50914,52918
Russia,"29/05/2020 8:30 AM",379051,387320
"Saudi Arabia","29/05/2020 8:30 AM",80185,81805
Singapore,"29/05/2020 8:30 AM",33249,33604
Sweden,"29/05/2020 8:30 AM",35727,36381
Turkey,"29/05/2020 8:30 AM",160979,162150
UK,"29/05/2020 8:30 AM",269127,270933
USA,"29/05/2020 8:30 AM",1721753,1740716

