Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"12/05/2020 8:30 AM",15882,15932
Belarus,"12/05/2020 8:30 AM",23906,24859
Belgium,"12/05/2020 8:30 AM",53449,53795
Brazil,"12/05/2020 8:30 AM",169143,176366
Canada,"12/05/2020 8:30 AM",69981,71082
China,"12/05/2020 8:30 AM",82918,82932
Ecuador,"12/05/2020 8:30 AM",30298,31266
France,"12/05/2020 8:30 AM",177423,177835
Germany,"12/05/2020 8:30 AM",172576,173236
India,"12/05/2020 8:30 AM",70768,74484
Iran,"12/05/2020 8:30 AM",109286,110974
Ireland,"12/05/2020 8:30 AM",23135,23196
Italy,"12/05/2020 8:30 AM",219814,220514
Japan,"12/05/2020 8:30 AM",15847,15886
Mexico,"12/05/2020 8:30 AM",35022,36639
Netherlands,"12/05/2020 8:30 AM",42788,42913
Pakistan,"12/05/2020 8:30 AM",30941,31546
Peru,"12/05/2020 8:30 AM",68822,70513
Portugal,"12/05/2020 8:30 AM",27679,27752
Russia,"12/05/2020 8:30 AM",221344,233252
"South Korea","12/05/2020 8:30 AM",10909,10944
Spain,"12/05/2020 8:30 AM",268143,271547
Sweden,"12/05/2020 8:30 AM",26670,27006
Switzerland,"12/05/2020 8:30 AM",30344,30382
Turkey,"12/05/2020 8:30 AM",139771,140777
UK,"12/05/2020 8:30 AM",223060,226620
USA,"12/05/2020 8:30 AM",1385834,1402330

