Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"16/05/2020 8:30 AM",16109,16160
Belarus,"16/05/2020 8:30 AM",27730,28686
Belgium,"16/05/2020 8:30 AM",54644,54999
Brazil,"16/05/2020 8:30 AM",218223,234653
Canada,"16/05/2020 8:30 AM",74613,75794
Chile,"16/05/2020 8:30 AM",39542,42227
China,"16/05/2020 8:30 AM",82933,82936
Ecuador,"16/05/2020 8:30 AM",31467,32429
France,"16/05/2020 8:30 AM",179506,180114
Germany,"16/05/2020 8:30 AM",175699,176403
India,"16/05/2020 8:30 AM",85784,89600
Iran,"16/05/2020 8:30 AM",116635,118777
Ireland,"16/05/2020 8:30 AM",23956,24049
Italy,"16/05/2020 8:30 AM",223885,224661
Japan,"16/05/2020 8:30 AM",16203,16211
Mexico,"16/05/2020 8:30 AM",42595,45128
Netherlands,"16/05/2020 8:30 AM",43681,43868
Pakistan,"16/05/2020 8:30 AM",37218,38683
Peru,"16/05/2020 8:30 AM",84495,88567
Portugal,"16/05/2020 8:30 AM",28583,28825
Qatar,"16/05/2020 8:30 AM",29425,30620
Russia,"16/05/2020 8:30 AM",262843,272696
"Saudi Arabia","16/05/2020 8:30 AM",49176,51566
Singapore,"16/05/2020 8:30 AM",26891,27689
"South Korea","16/05/2020 8:30 AM",11018,11045
Spain,"16/05/2020 8:30 AM",274367,276029
Sweden,"16/05/2020 8:30 AM",29207,29831
Switzerland,"16/05/2020 8:30 AM",30514,30564
Turkey,"16/05/2020 8:30 AM",146457,148098
UK,"16/05/2020 8:30 AM",236711,240165
USA,"16/05/2020 8:30 AM",1484285,1510498

