Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"22/05/2020 8:30 AM",16404,16456
Belarus,"22/05/2020 8:30 AM",33371,34291
Belgium,"22/05/2020 8:30 AM",56235,56472
Brazil,"22/05/2020 8:30 AM",310921,329594
Canada,"22/05/2020 8:30 AM",81324,82465
Chile,"22/05/2020 8:30 AM",57581,61876
China,"22/05/2020 8:30 AM",82967,82969
Ecuador,"22/05/2020 8:30 AM",35306,35715
France,"22/05/2020 8:30 AM",181826,182050
Germany,"22/05/2020 8:30 AM",179021,179504
India,"22/05/2020 8:30 AM",118226,124770
Iran,"22/05/2020 8:30 AM",129341,131785
Ireland,"22/05/2020 8:30 AM",24391,24459
Italy,"22/05/2020 8:30 AM",228006,228628
Japan,"22/05/2020 8:30 AM",16424,16458
Mexico,"22/05/2020 8:30 AM",56594,58882
Netherlands,"22/05/2020 8:30 AM",44700,44946
Pakistan,"22/05/2020 8:30 AM",48091,50417
Peru,"22/05/2020 8:30 AM",108769,113732
Portugal,"22/05/2020 8:30 AM",29912,30157
Qatar,"22/05/2020 8:30 AM",38651,40232
Russia,"22/05/2020 8:30 AM",317554,326316
"Saudi Arabia","22/05/2020 8:30 AM",65077,67634
Singapore,"22/05/2020 8:30 AM",29812,30175
"South Korea","22/05/2020 8:30 AM",11122,11134
Spain,"22/05/2020 8:30 AM",280117,280689
Sweden,"22/05/2020 8:30 AM",32172,32833
Switzerland,"22/05/2020 8:30 AM",30694,30728
Turkey,"22/05/2020 8:30 AM",153548,154548
UK,"22/05/2020 8:30 AM",250908,253393
USA,"22/05/2020 8:30 AM",1620902,1649617

