Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"11/05/2020 8:30 AM",15871,15928
Belarus,"11/05/2020 8:30 AM",22973,23954
Belgium,"11/05/2020 8:30 AM",53081,53538
Brazil,"11/05/2020 8:30 AM",162699,169201
Canada,"11/05/2020 8:30 AM",68848,69942
China,"11/05/2020 8:30 AM",82901,82915
Ecuador,"11/05/2020 8:30 AM",30298,31266
France,"11/05/2020 8:30 AM",176970,177096
Germany,"11/05/2020 8:30 AM",171879,172383
India,"11/05/2020 8:30 AM",67161,71723
Iran,"11/05/2020 8:30 AM",107603,109088
Ireland,"11/05/2020 8:30 AM",22996,23194
Italy,"11/05/2020 8:30 AM",219070,219833
Japan,"11/05/2020 8:30 AM",15777,15857
Mexico,"11/05/2020 8:30 AM",33460,35474
Netherlands,"11/05/2020 8:30 AM",42627,42842
Pakistan,"11/05/2020 8:30 AM",30334,32021
Peru,"11/05/2020 8:30 AM",67307,69502
Portugal,"11/05/2020 8:30 AM",27581,27746
Russia,"11/05/2020 8:30 AM",209688,220960
"South Korea","11/05/2020 8:30 AM",10874,10907
Spain,"11/05/2020 8:30 AM",264663,266454
Sweden,"11/05/2020 8:30 AM",26322,26701
Switzerland,"11/05/2020 8:30 AM",30305,30359
Turkey,"11/05/2020 8:30 AM",138657,140090
UK,"11/05/2020 8:30 AM",219183,223003
USA,"11/05/2020 8:30 AM",1367638,1386278
