Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"09/05/2020 8:30 AM",15774,15831
Belarus,"09/05/2020 8:30 AM",21101,22155
Belgium,"09/05/2020 8:30 AM",52011,52558
Brazil,"09/05/2020 8:30 AM",145892,156109
Canada,"09/05/2020 8:30 AM",66434,67814
China,"09/05/2020 8:30 AM",82886,82888
Ecuador,"09/05/2020 8:30 AM",30298,31266
France,"09/05/2020 8:30 AM",176079,177512
Germany,"09/05/2020 8:30 AM",170588,171860
India,"09/05/2020 8:30 AM",59695,63338
Iran,"09/05/2020 8:30 AM",104691,106184
Ireland,"09/05/2020 8:30 AM",22541,22692
Italy,"09/05/2020 8:30 AM",217185,218442
Japan,"09/05/2020 8:30 AM",15575,15683
Mexico,"09/05/2020 8:30 AM",29616,31719
Netherlands,"09/05/2020 8:30 AM",42093,42435
Pakistan,"09/05/2020 8:30 AM",26435,28327
Peru,"09/05/2020 8:30 AM",61847,65311
Portugal,"09/05/2020 8:30 AM",27268,27785
Russia,"09/05/2020 8:30 AM",187859,198743
"South Korea","09/05/2020 8:30 AM",10822,10834
Spain,"09/05/2020 8:30 AM",260117,263319
Sweden,"09/05/2020 8:30 AM",25265,25895
Switzerland,"09/05/2020 8:30 AM",30207,30256
Turkey,"09/05/2020 8:30 AM",135569,137310
UK,"09/05/2020 8:30 AM",211364,215757
USA,"09/05/2020 8:30 AM",1321785,1349308

