Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"17/05/2020 8:30 AM",16201,16294
Belarus,"17/05/2020 8:30 AM",28681,29616
Belgium,"17/05/2020 8:30 AM",54989,55316
Brazil,"17/05/2020 8:30 AM",233142,248625
Canada,"17/05/2020 8:30 AM",75864,77042
Chile,"17/05/2020 8:30 AM",41428,43404
China,"17/05/2020 8:30 AM",82941,82949
Ecuador,"17/05/2020 8:30 AM",32763,34103
France,"17/05/2020 8:30 AM",179365,179791
Germany,"17/05/2020 8:30 AM",176244,176765
India,"17/05/2020 8:30 AM",90648,95765
Iran,"17/05/2020 8:30 AM",118392,120175
Ireland,"17/05/2020 8:30 AM",24048,24108
Italy,"17/05/2020 8:30 AM",224760,225506
Japan,"17/05/2020 8:30 AM",16237,16248
Mexico,"17/05/2020 8:30 AM",45032,47597
Netherlands,"17/05/2020 8:30 AM",43870,44038
Pakistan,"17/05/2020 8:30 AM",38799,40419
Peru,"17/05/2020 8:30 AM",88541,92721
Portugal,"17/05/2020 8:30 AM",28810,29046
Qatar,"17/05/2020 8:30 AM",30972,32586
Russia,"17/05/2020 8:30 AM",272043,281068
"Saudi Arabia","17/05/2020 8:30 AM",52016,54997
Singapore,"17/05/2020 8:30 AM",27356,27825
"South Korea","17/05/2020 8:30 AM",11037,11064
Spain,"17/05/2020 8:30 AM",276505,278561
Sweden,"17/05/2020 8:30 AM",29677,30149
Switzerland,"17/05/2020 8:30 AM",30572,30619
Turkey,"17/05/2020 8:30 AM",148067,149625
UK,"17/05/2020 8:30 AM",240161,243537
USA,"17/05/2020 8:30 AM",1507773,1530448

