Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"28/05/2020 8:30 AM",38292,40570
Belarus,"28/05/2020 8:30 AM",38956,39834
Brazil,"28/05/2020 8:30 AM",414661,438171
Canada,"28/05/2020 8:30 AM",87519,88378
Chile,"28/05/2020 8:30 AM",82289,87192
Ecuador,"28/05/2020 8:30 AM",38103,38869
Germany,"28/05/2020 8:30 AM",181895,182492
India,"28/05/2020 8:30 AM",158086,165697
Iran,"28/05/2020 8:30 AM",141591,143701
Italy,"28/05/2020 8:30 AM",231139,231709
Mexico,"28/05/2020 8:30 AM",74560,78157
Pakistan,"28/05/2020 8:30 AM",59151,60613
Peru,"28/05/2020 8:30 AM",135905,142263
Qatar,"28/05/2020 8:30 AM",48947,50728
Russia,"28/05/2020 8:30 AM",370680,378846
"Saudi Arabia","28/05/2020 8:30 AM",78541,80335
Singapore,"28/05/2020 8:30 AM",32876,33383
Spain,"28/05/2020 8:30 AM",283849,284265
Sweden,"28/05/2020 8:30 AM",35088,35696
Turkey,"28/05/2020 8:30 AM",159797,160700
UK,"28/05/2020 8:30 AM",267240,269714
USA,"28/05/2020 8:30 AM",1745803,1765653
