Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"15/05/2020 8:30 AM",16058,16121
Belarus,"15/05/2020 8:30 AM",26772,27638
Belgium,"15/05/2020 8:30 AM",54288,54587
Brazil,"15/05/2020 8:30 AM",202918,217778
Canada,"15/05/2020 8:30 AM",73401,74461
Chile,"15/05/2020 8:30 AM",37040,39930
China,"15/05/2020 8:30 AM",82929,82932
Ecuador,"15/05/2020 8:30 AM",30502,30935
France,"15/05/2020 8:30 AM",178870,179640
Germany,"15/05/2020 8:30 AM",174975,175841
India,"15/05/2020 8:30 AM",81997,86034
Iran,"15/05/2020 8:30 AM",114533,116361
Ireland,"15/05/2020 8:30 AM",23827,24230
Italy,"15/05/2020 8:30 AM",223096,224064
Japan,"15/05/2020 8:30 AM",16120,16186
Mexico,"15/05/2020 8:30 AM",40186,42108
Netherlands,"15/05/2020 8:30 AM",43481,43723
Pakistan,"15/05/2020 8:30 AM",35788,36311
Peru,"15/05/2020 8:30 AM",80604,84854
Portugal,"15/05/2020 8:30 AM",28319,28503
Qatar,"15/05/2020 8:30 AM",28272,30113
Russia,"15/05/2020 8:30 AM",252245,262172
"Saudi Arabia","15/05/2020 8:30 AM",46869,48957
Singapore,"15/05/2020 8:30 AM",26098,26826
"South Korea","15/05/2020 8:30 AM",10991,11018
Spain,"15/05/2020 8:30 AM",272646,274148
Sweden,"15/05/2020 8:30 AM",28582,29255
Switzerland,"15/05/2020 8:30 AM",30463,30515
Turkey,"15/05/2020 8:30 AM",144749,146294
UK,"15/05/2020 8:30 AM",233151,236513
USA,"15/05/2020 8:30 AM",1457593,1484375

