Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"31/05/2020 8:30 AM",44608,46414
Belarus,"31/05/2020 8:30 AM",41658,42531
Brazil,"31/05/2020 8:30 AM",498440,530096
Canada,"31/05/2020 8:30 AM",90190,90982
Chile,"31/05/2020 8:30 AM",94858,99290
Colombia,"31/05/2020 8:30 AM",28236,29805
Ecuador,"31/05/2020 8:30 AM",38571,38835
Germany,"31/05/2020 8:30 AM",183294,183560
India,"31/05/2020 8:30 AM",181827,190549
Indonesia,"31/05/2020 8:30 AM",25773,27006
Iran,"31/05/2020 8:30 AM",148950,151301
Italy,"31/05/2020 8:30 AM",232664,233069
Kuwait,"31/05/2020 8:30 AM",26192,27845
Mexico,"31/05/2020 8:30 AM",84627,87914
Pakistan,"31/05/2020 8:30 AM",66457,68957
Peru,"31/05/2020 8:30 AM",155671,163329
Qatar,"31/05/2020 8:30 AM",55262,57710
Russia,"31/05/2020 8:30 AM",396575,405497
"Saudi Arabia","31/05/2020 8:30 AM",83384,84974
Singapore,"31/05/2020 8:30 AM",34366,34866
"South Africa","31/05/2020 8:30 AM",30967,32826
Spain,"31/05/2020 8:30 AM",286308,286923
Sweden,"31/05/2020 8:30 AM",37113,37751
Turkey,"31/05/2020 8:30 AM",163103,164069
UAE,"31/05/2020 8:30 AM",33896,35556
UK,"31/05/2020 8:30 AM",272826,274356
USA,"31/05/2020 8:30 AM",1816820,1839814
