Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"27/05/2020 8:30 AM",36751,37939
Belarus,"27/05/2020 8:30 AM",38059,38958
Brazil,"27/05/2020 8:30 AM",392360,407780
Canada,"27/05/2020 8:30 AM",86647,87563
Chile,"27/05/2020 8:30 AM",77691,81581
Ecuador,"27/05/2020 8:30 AM",37355,37627
France,"27/05/2020 8:30 AM",182942,183307
Germany,"27/05/2020 8:30 AM",181288,181777
India,"27/05/2020 8:30 AM",150793,156909
Iran,"27/05/2020 8:30 AM",139511,141317
Italy,"27/05/2020 8:30 AM",230555,230934
Mexico,"27/05/2020 8:30 AM",71105,73604
Pakistan,"27/05/2020 8:30 AM",57705,59054
Peru,"27/05/2020 8:30 AM",129751,135552
Qatar,"27/05/2020 8:30 AM",47207,48969
Russia,"27/05/2020 8:30 AM",362342,371139
"Saudi Arabia","27/05/2020 8:30 AM",76726,78642
Singapore,"27/05/2020 8:30 AM",32343,32711
Spain,"27/05/2020 8:30 AM",283339,283695
Sweden,"27/05/2020 8:30 AM",34440,35041
Turkey,"27/05/2020 8:30 AM",158762,159685
UK,"27/05/2020 8:30 AM",265227,269231
USA,"27/05/2020 8:30 AM",1725275,1743436

