Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"13/05/2020 8:30 AM",15961,16040
Belarus,"13/05/2020 8:30 AM",24873,25809
Belgium,"13/05/2020 8:30 AM",53779,54096
Brazil,"13/05/2020 8:30 AM",177602,185670
Canada,"13/05/2020 8:30 AM",71157,72314
Chile,"13/05/2020 8:30 AM",31721,33465
China,"13/05/2020 8:30 AM",82919,82920
Ecuador,"13/05/2020 8:30 AM",30419,31393
France,"13/05/2020 8:30 AM",178225,178979
Germany,"13/05/2020 8:30 AM",173171,173742
India,"13/05/2020 8:30 AM",74292,77926
Iran,"13/05/2020 8:30 AM",110767,112249
Ireland,"13/05/2020 8:30 AM",23242,23311
Italy,"13/05/2020 8:30 AM",221216,222596
Japan,"13/05/2020 8:30 AM",15968,16063
Mexico,"13/05/2020 8:30 AM",36327,37634
Netherlands,"13/05/2020 8:30 AM",42984,43139
Pakistan,"13/05/2020 8:30 AM",32674,34498
Peru,"13/05/2020 8:30 AM",72059,75337
Portugal,"13/05/2020 8:30 AM",27913,28142
Qatar,"13/05/2020 8:30 AM",25149,26770
Russia,"13/05/2020 8:30 AM",232243,243361
"Saudi Arabia","13/05/2020 8:30 AM",42925,44871
Singapore,"13/05/2020 8:30 AM",24671,25571
"South Korea","13/05/2020 8:30 AM",10936,10963
Spain,"13/05/2020 8:30 AM",269520,270859
Sweden,"13/05/2020 8:30 AM",27272,27864
Switzerland,"13/05/2020 8:30 AM",30380,30413
Turkey,"13/05/2020 8:30 AM",141475,143102
UK,"13/05/2020 8:30 AM",226463,229726
USA,"13/05/2020 8:30 AM",1408636,1430396
