Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"26/05/2020 8:30 AM",35585,37647
Belarus,"26/05/2020 8:30 AM",37144,38077
Brazil,"26/05/2020 8:30 AM",376669,389778
Canada,"26/05/2020 8:30 AM",85711,86694
Chile,"26/05/2020 8:30 AM",73997,79271
Ecuador,"26/05/2020 8:30 AM",37355,37965
France,"26/05/2020 8:30 AM",182942,183307
Germany,"26/05/2020 8:30 AM",180789,181231
India,"26/05/2020 8:30 AM",144850,151420
Iran,"26/05/2020 8:30 AM",137724,139785
Italy,"26/05/2020 8:30 AM",230158,230456
Mexico,"26/05/2020 8:30 AM",68620,71435
Pakistan,"26/05/2020 8:30 AM",56349,58122
Peru,"26/05/2020 8:30 AM",123979,128126
Qatar,"26/05/2020 8:30 AM",45465,47251
Russia,"26/05/2020 8:30 AM",353427,362238
"Saudi Arabia","26/05/2020 8:30 AM",74795,77033
Singapore,"26/05/2020 8:30 AM",31960,32278
Spain,"26/05/2020 8:30 AM",282852,282853
Sweden,"26/05/2020 8:30 AM",33843,34213
Turkey,"26/05/2020 8:30 AM",157814,158782
UK,"26/05/2020 8:30 AM",261184,262710
USA,"26/05/2020 8:30 AM",1706226,1724690
