Country_Region,"Last_ Update","Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"02/05/2020 8:30 AM",15531,16478
Belgium,"02/05/2020 8:30 AM",49032,49179
Brazil,"02/05/2020 8:30 AM",92109,97658
Canada,"02/05/2020 8:30 AM",55061,55852
China,"02/05/2020 8:30 AM",82874,82875
Ecuador,"02/05/2020 8:30 AM",26336,27602
France,"02/05/2020 8:30 AM",167346,169311
Germany,"02/05/2020 8:30 AM",164077,165149
India,"02/05/2020 8:30 AM",37257,39273
Iran,"02/05/2020 8:30 AM",95646,96798
Italy,"02/05/2020 8:30 AM",207428,208452
Japan,"02/05/2020 8:30 AM",14305,14732
Netherlands,"02/05/2020 8:30 AM",39791,39947
Peru,"02/05/2020 8:30 AM",40459,45469
Portugal,"02/05/2020 8:30 AM",25351,25402
Russia,"02/05/2020 8:30 AM",114431,119974
"South Korea","02/05/2020 8:30 AM",10774,10782
Spain,"02/05/2020 8:30 AM",242988,246554
Switzerland,"02/05/2020 8:30 AM",29705,29841
Turkey,"02/05/2020 8:30 AM",122392,123863
UK,"02/05/2020 8:30 AM",177454,180312
USA,"02/05/2020 8:30 AM",1131030,1158193

