Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"21/05/2020 8:30 AM",16353,16405
Belarus,"21/05/2020 8:30 AM",32426,33299
Belgium,"21/05/2020 8:30 AM",55983,56160
Brazil,"21/05/2020 8:30 AM",293357,316762
Canada,"21/05/2020 8:30 AM",80142,81150
Chile,"21/05/2020 8:30 AM",53617,58010
China,"21/05/2020 8:30 AM",82965,82970
Ecuador,"21/05/2020 8:30 AM",34854,35578
France,"21/05/2020 8:30 AM",181575,182316
Germany,"21/05/2020 8:30 AM",178531,179229
India,"21/05/2020 8:30 AM",112028,117759
Iran,"21/05/2020 8:30 AM",126949,129341
Ireland,"21/05/2020 8:30 AM",24315,24369
Italy,"21/05/2020 8:30 AM",227364,228014
Japan,"21/05/2020 8:30 AM",16385,16390
Mexico,"21/05/2020 8:30 AM",54346,57168
Netherlands,"21/05/2020 8:30 AM",44447,44628
Pakistan,"21/05/2020 8:30 AM",45898,47899
Peru,"21/05/2020 8:30 AM",104020,108703
Portugal,"21/05/2020 8:30 AM",29660,29874
Qatar,"21/05/2020 8:30 AM",37097,38621
Russia,"21/05/2020 8:30 AM",308705,317110
"Saudi Arabia","21/05/2020 8:30 AM",62545,65283
Singapore,"21/05/2020 8:30 AM",29364,29911
"South Korea","21/05/2020 8:30 AM",11110,11139
Spain,"21/05/2020 8:30 AM",279524,280163
Sweden,"21/05/2020 8:30 AM",31523,32256
Switzerland,"21/05/2020 8:30 AM",30658,30693
Turkey,"21/05/2020 8:30 AM",152587,153515
UK,"21/05/2020 8:30 AM",248293,251139
USA,"21/05/2020 8:30 AM",1591991,1612938
